,Country (or dependent territory),2020,2021,2022,2023,2024,2025,2026,2027,2028
0,Afghanistan,81007,67093,67093,67093,67093,67093,67093,67093,67093
1,Albania,40781,46409,52066,55928,59099,62358,65762,69285,73015
2,Algeria,489697,529091,584271,628990,663394,693851,720608,746502,773281
3,Andorra,4097,4636,5397,5711,5928,6138,6351,6564,6786
4,Angola,212676,224894,247977,260323,274937,289957,305790,322417,340304
5,Antigua and Barbuda,1838,2047,2376,2601,2804,2980,3124,3271,3426
6,Argentina,943733,1091817,1226204,1239515,1302455,1371892,1440470,1507144,1573449
7,Armenia,39618,43750,52715,58497,62814,66964,71335,75908,80794
8,Aruba,3291,4389,5187,5502,5694,5879,6059,6237,6423
9,Australia,1335777,1468448,1629322,1719262,1779967,1851755,1929007,2009403,2093752
10,Austria,492487,538059,603666,626458,645560,669674,695912,720750,743300
11,Azerbaijan,146389,161556,180785,192146,201481,210704,220191,229902,240118
12,Bahamas,11217,13712,16780,18146,18897,19589,20286,20966,21680
13,Bahrain,74881,80272,90096,95973,101678,107009,111994,117144,122555
14,Bangladesh,1053583,1178213,1343253,1476870,1619384,1770116,1930714,2101670,2287210
15,Barbados,4095,4270,5017,5436,5776,6057,6317,6561,6816
16,Belarus,190554,203640,209920,221186,229202,235219,241349,247906,254130
17,Belgium,599045,665300,735025,769682,793825,819729,845598,871766,899500
18,Belize,3214,3869,4666,5032,5300,5544,5796,6052,6321
19,Benin,42544,47636,54160,59241,64404,69618,75235,81179,87623
20,Bhutan,8871,8961,10044,10969,11558,12330,13265,13923,14695
21,Bolivia,96804,107328,118840,125428,130579,136008,141698,147607,153800
22,Bosnia and Herzegovina,51449,57733,64314,68012,71640,75276,79039,82899,86968
23,Botswana,36425,42577,48194,51886,55242,58806,62361,66033,69980
24,Brazil,3176646,3484931,3837215,4101022,4257121,4425271,4595824,4774155,4960604
25,Brunei,28736,29549,31104,32000,33875,35536,37299,39162,41148
26,Bulgaria,165125,185715,205404,216499,228402,239996,251846,263733,276249
27,Burkina Faso,47835,53435,58025,62788,68351,73892,79580,85291,91458
28,Burundi,9183,9895,10782,11551,12516,13527,14576,15724,16891
29,Cape Verde,3794,4218,5282,5717,6109,6518,6950,7410,7903
30,Cambodia,74043,79711,89763,98319,106714,115820,125764,136058,147320
31,Cameroon,102841,111381,123683,133335,142050,151342,161160,171516,182695
32,Canada,1865198,2046659,2265320,2378973,2471985,2581769,2678765,2773322,2871670
33,Central African Republic,4782,5045,5424,5678,5949,6298,6664,7036,7406
34,Chad,26284,27139,30026,32375,34349,36090,37861,39685,41630
35,Chile,452719,528579,579409,597520,620883,647923,676122,705168,735761
36,China,24196274,27419465,30217113,32897929,35042689,37220761,39487605,41682466,43889882
37,Colombia,725685,841815,966152,1016124,1059695,1112730,1172265,1233627,1298516
38,Comoros,2743,2927,3213,3432,3632,3855,4100,4362,4634
39,Democratic Republic of the Congo,105399,116991,136349,150883,161534,173576,186234,200353,214766
40,Republic of the Congo,22574,23838,25954,27994,29895,31490,33312,35244,37322
41,Costa Rica,104006,117133,130734,141527,149352,157228,165403,173817,182703
42,Ivory Coast,144177,161199,184048,202647,220916,239792,259846,280737,303095
43,Croatia,115150,136068,154655,164672,172781,181023,189887,198773,208125
44,Cyprus,37193,41440,46841,49655,52139,54791,57539,60322,63221
45,Czech Republic,438190,474141,519238,539318,564190,592430,620491,647484,676264
46,Denmark,341378,381128,418963,441754,458087,472928,488372,503766,519771
47,Djibouti,5479,5984,6607,7193,7796,8390,8981,9602,10269
48,Dominica,780,871,985,1069,1143,1215,1274,1332,1393
49,Dominican Republic,194778,228505,256390,273703,294562,315728,338061,361499,386719
50,Ecuador,192368,209522,230808,242579,252590,262805,273708,286570,300037
51,Egypt,1360834,1468224,1675593,1809425,1917089,2054322,2207514,2379036,2567912
52,El Salvador,55131,64047,70316,74505,77671,80857,84075,87324,90721
53,Equatorial Guinea,25359,26399,29165,28356,27412,26838,26266,26302,26623
54,Eritrea,6420,6420,6420,6420,6420,6420,6420,6420,6420
55,Estonia,50433,56519,60199,60997,63856,66880,70149,73551,77056
56,Eswatini,10336,11652,12913,13797,14572,15326,16070,16820,17608
57,Ethiopia,282904,314132,357506,393297,427122,463865,504350,548284,597278
58,Fiji,10655,10590,13600,15152,16101,17031,17963,18929,19914
59,Finland,276664,298254,324269,335760,346967,358721,371391,384284,397762
60,France,3031366,3369288,3696243,3868619,4009501,4164396,4316064,4461996,4610031
61,Gabon,33660,35688,39348,41922,43967,45980,48203,50447,52836
62,Gambia,5552,6107,6855,7502,8149,8794,9415,10068,10770
63,Georgia,54905,63375,74670,82210,88087,94536,101381,108603,116367
64,Germany,4572957,4929779,5370287,5537992,5715263,5946685,6176079,6370097,6547453
65,Ghana,178870,196393,216618,227189,238596,254586,272367,291214,311441
66,Greece,305668,346337,392514,416969,434833,449890,465076,479305,493694
67,Grenada,1721,1882,2142,2307,2449,2585,2721,2846,2978
68,Guatemala,149348,168545,187778,201365,213134,225258,238125,251693,266355
69,Guinea,36239,39778,44390,48750,52651,56739,60970,65407,70112
70,Guinea-Bissau,4454,4951,5521,5981,6423,6880,7364,7874,8380
71,Guyana,15516,19465,33803,48514,62790,76081,93984,115959,134031
72,Haiti,35332,36255,38142,38952,40392,41824,43275,44727,46240
73,Honduras,53744,63197,70330,75030,79186,83599,88402,93479,98848
74,Hong Kong,441550,491104,507238,548999,577868,606463,634979,663116,691688
75,Hungary,325580,364699,408111,421683,444595,468524,493855,520234,548159
76,Iceland,20170,22026,25275,27078,28172,29359,30653,31932,33297
77,India,9101313,10370824,11900714,13119622,14261176,15469081,16765194,18155677,19650221
